,period,dc:identifier,prism:doi,IIHH,GOV,CC
28,"<Aug,2022",SCOPUS_ID:0032808605,10.1016/S0305-750X(99)00041-8,1,0,0
29,"<Aug,2022",SCOPUS_ID:85076210101,10.1016/j.envdev.2019.100468,1,0,0
30,"<Aug,2022",SCOPUS_ID:85090569921,,0,0,1
31,"<Aug,2022",SCOPUS_ID:85090569921,,1,0,0
32,"<Aug,2022",SCOPUS_ID:85104663310,10.5751/ES-12122-260103,1,1,1
33,"<Aug,2022",SCOPUS_ID:85087657712,10.1007/s11069-020-04127-0,1,0,0
34,"<Aug,2022",SCOPUS_ID:85039727882,10.1080/17565529.2017.1411240,1,0,0
35,"<Aug,2022",SCOPUS_ID:85117298177,10.2993/0278-0771-41.3.409,1,0,0
36,"<Aug,2022",SCOPUS_ID:85121525480,10.22459/HER.26.02.2020.07,1,0,0
37,"<Aug,2022",SCOPUS_ID:56949095607,10.1016/j.geoforum.2008.07.010,1,1,1
38,"<Aug,2022",SCOPUS_ID:85060437848,10.1016/j.jaridenv.2019.01.011,1,0,0
39,"<Aug,2022",SCOPUS_ID:85067640172,10.1016/j.worlddev.2019.06.023,1,0,0
40,"<Aug,2022",SCOPUS_ID:85093682396,10.1016/j.worlddev.2020.105219,1,0,0
41,"<Aug,2022",SCOPUS_ID:85035223713,10.1016/j.lcsi.2017.11.002,1,0,0
42,"<Aug,2022",SCOPUS_ID:85082871991,10.1016/j.ijdrr.2020.101595,1,0,0
43,"<Aug,2022",SCOPUS_ID:85118798762,10.1016/j.ijdrr.2021.102601,1,0,0
44,"<Aug,2022",SCOPUS_ID:85123855212,10.1016/j.envc.2022.100460,1,0,0
45,"<Aug,2022",SCOPUS_ID:85116695711,10.1108/IJCCSM-04-2020-0034,1,0,0
46,"<Aug,2022",SCOPUS_ID:81755178476,10.1163/156853111X597260,1,0,0
47,"<Aug,2022",SCOPUS_ID:85042921030,10.1080/17565529.2018.1442798,1,0,0
48,"<Aug,2022",SCOPUS_ID:27844489542,10.1111/j.1759-5436.2005.tb00236.x,0,0,1
49,"<Aug,2022",SCOPUS_ID:84892146729,10.1504/IJGW.2013.057285,1,0,0
50,"<Aug,2022",SCOPUS_ID:84892172075,10.1504/IJGW.2013.057292,1,0,0
51,"<Aug,2022",SCOPUS_ID:0032434905,,0,0,1
52,"<Aug,2022",SCOPUS_ID:0032434905,,1,0,0
53,"<Aug,2022",SCOPUS_ID:85111500756,10.1007/s00267-021-01500-y,0,0,1
54,"<Aug,2022",SCOPUS_ID:85084216855,10.1007/s10708-020-10191-7,1,0,0
55,"<Aug,2022",SCOPUS_ID:85092193684,10.1007/s10708-020-10310-4,0,0,1
56,"<Aug,2022",SCOPUS_ID:85060061429,10.1007/s10745-019-0049-8,1,0,0
57,"<Aug,2022",SCOPUS_ID:85070469891,10.1007/s40609-014-0014-9,0,0,1
58,"<Aug,2022",SCOPUS_ID:85088820843,10.3390/su12145654,0,0,1
59,"<Aug,2022",SCOPUS_ID:85122737054,10.3390/su14020762,1,0,0
60,"<Aug,2022",SCOPUS_ID:84969716611,10.18520/cs/v110/i7/1272-1281,1,0,0
61,"<Aug,2022",SCOPUS_ID:85105318578,10.1155/2021/8416410,1,0,0
62,"<Aug,2022",SCOPUS_ID:85061725292,10.1016/j.geoforum.2019.02.007,0,1,0
63,"<Aug,2022",SCOPUS_ID:84871938420,10.1016/j.landusepol.2012.07.012,0,1,0
64,"<Aug,2022",SCOPUS_ID:85107836402,10.1016/j.gloenvcha.2021.102289,1,0,0
65,"<Aug,2022",SCOPUS_ID:85049321822,10.1016/j.jclepro.2018.06.049,0,1,0
66,"<Aug,2022",SCOPUS_ID:85082423676,10.1016/j.envsci.2020.03.004,0,1,0
67,"<Aug,2022",SCOPUS_ID:85110044971,10.4102/JAMBA.V13I1.1024,1,1,1
68,"<Aug,2022",SCOPUS_ID:85100993960,10.18461/ijfsd.v11i4.57,1,1,1
69,"<Aug,2022",SCOPUS_ID:85092400285,10.1007/978-3-030-55536-8_3,0,1,0
70,"<Aug,2022",SCOPUS_ID:85071382684,10.1007/978-3-319-04489-7_17,0,1,0
71,"<Aug,2022",SCOPUS_ID:85048303595,10.3390/su10061952,1,1,1
72,"<Aug,2022",SCOPUS_ID:85103818688,10.3390/su13073751,1,0,0
73,"<Aug,2022",SCOPUS_ID:27544432408,10.1080/13501760500270745,0,1,0
74,"<Aug,2022",SCOPUS_ID:85073143616,10.12854/erde-2019-426,0,1,0
75,"<Aug,2022",SCOPUS_ID:85048737455,10.1016/j.landurbplan.2016.09.025,0,1,0
76,"<Aug,2022",SCOPUS_ID:85105695658,10.1016/j.ocecoaman.2021.105654,1,0,0
77,"<Aug,2022",SCOPUS_ID:85107116401,10.1016/j.ocecoaman.2021.105732,0,1,0
78,"<Aug,2022",SCOPUS_ID:85057739244,10.5614/jrcp.2018.29.2.2,0,1,0
79,"<Aug,2022",SCOPUS_ID:84963812078,10.1111/1745-5871.12179,1,0,0
80,"<Aug,2022",SCOPUS_ID:85104319921,10.1007/s10113-021-01771-5,0,1,0
81,"<Aug,2022",SCOPUS_ID:85070760404,10.1007/s10584-019-02507-5,0,1,0
82,"<Aug,2022",SCOPUS_ID:85104480112,10.1111/sjtg.12370,0,1,0
83,"<Aug,2022",SCOPUS_ID:85083834426,10.3390/su11247144,0,1,0
84,"<Aug,2022",SCOPUS_ID:85090862225,10.3390/SU12176916,0,1,0
85,"<Aug,2022",SCOPUS_ID:84866656781,10.1080/1573062X.2012.668913,0,1,0
86,"<Aug,2022",SCOPUS_ID:84941137408,10.1016/j.apgeog.2015.08.003,1,0,0
87,"<Aug,2022",SCOPUS_ID:84955588422,10.1016/j.habitatint.2015.12.025,1,1,1
88,"<Aug,2022",SCOPUS_ID:85101336070,10.1016/j.landusepol.2021.105354,0,1,0
89,"<Aug,2022",SCOPUS_ID:85087502381,10.1016/j.jenvman.2020.110809,1,0,0
90,"<Aug,2022",SCOPUS_ID:85072542940,10.1016/j.gloenvcha.2019.101981,1,0,0
91,"<Aug,2022",SCOPUS_ID:85087347406,10.1016/j.gloenvcha.2020.102122,0,1,0
92,"<Aug,2022",SCOPUS_ID:84937861208,10.1016/j.ocecoaman.2015.07.001,1,1,0
93,"<Aug,2022",SCOPUS_ID:85084925670,10.1016/j.envsci.2020.04.009,1,1,1
94,"<Aug,2022",SCOPUS_ID:85114676707,10.1016/j.envsci.2021.08.019,1,0,0
95,"<Aug,2022",SCOPUS_ID:85106573141,10.1016/j.envdev.2021.100646,0,1,0
96,"<Aug,2022",SCOPUS_ID:84902145773,10.1016/j.ijdrr.2014.05.003,0,1,0
97,"<Aug,2022",SCOPUS_ID:84988026077,10.1016/j.ijdrr.2016.08.004,0,0,1
98,"<Aug,2022",SCOPUS_ID:85044962694,10.1016/j.ijdrr.2018.01.038,0,1,0
99,"<Aug,2022",SCOPUS_ID:85087118262,10.1016/j.ijdrr.2020.101712,1,0,0
100,"<Aug,2022",SCOPUS_ID:85096381161,10.1016/j.ijdrr.2020.101951,1,0,0
101,"<Aug,2022",SCOPUS_ID:85097045857,10.1016/j.ijdrr.2020.101961,0,1,0
102,"<Aug,2022",SCOPUS_ID:85102818359,10.1016/j.ijdrr.2021.102185,0,1,0
103,"<Aug,2022",SCOPUS_ID:85108436739,10.1016/j.ijdrr.2021.102401,1,0,0
104,"<Aug,2022",SCOPUS_ID:85059282554,10.4324/9780429463723,0,0,1
105,"<Aug,2022",SCOPUS_ID:85126542522,10.1080/14693062.2022.2048784,0,1,0
106,"<Aug,2022",SCOPUS_ID:85010858922,10.2495/SAFE-V1-N2-115-125,0,0,1
107,"<Aug,2022",SCOPUS_ID:84919869331,10.1002/eet.1659,0,1,0
108,"<Aug,2022",SCOPUS_ID:85105945926,10.3389/fenvs.2021.578238,0,0,1
109,"<Aug,2022",SCOPUS_ID:85107597990,10.3389/fenvs.2021.578724,1,0,0
110,"<Aug,2022",SCOPUS_ID:84865537140,10.2495/FRIAR120211,0,0,1
111,"<Aug,2022",SCOPUS_ID:85116878019,10.3389/frwa.2021.728730,1,0,0
112,"<Aug,2022",SCOPUS_ID:84940118138,10.5509/2015883599,0,1,0
113,"<Aug,2022",SCOPUS_ID:81155148746,10.1111/j.1753-318X.2011.01114.x,0,1,0
114,"<Aug,2022",SCOPUS_ID:85064606691,10.1016/j.gloenvcha.2019.03.008,0,1,1
115,"<Aug,2022",SCOPUS_ID:84878730402,10.1073/pnas.1210508110,0,1,0
116,"<Aug,2022",SCOPUS_ID:85085714402,10.1371/journal.pone.0233551,1,0,0
117,"<Aug,2022",SCOPUS_ID:85066894618,10.1007/s10113-019-01505-8,1,1,0
118,"<Aug,2022",SCOPUS_ID:85053495581,10.1007/s10584-018-2272-5,0,1,0
119,"<Aug,2022",SCOPUS_ID:85096385202,10.1007/s10584-020-02919-8,0,1,0
120,"<Aug,2022",SCOPUS_ID:84892554821,10.1007/s11027-012-9433-z,1,0,0
121,"<Aug,2022",SCOPUS_ID:84918555794,10.1007/s11069-014-1288-z,1,0,0
122,"<Aug,2022",SCOPUS_ID:85053722678,10.1007/s11069-018-3485-7,0,1,0
123,"<Aug,2022",SCOPUS_ID:85085303943,10.1007/s11069-020-04052-2,0,1,0
124,"<Aug,2022",SCOPUS_ID:85086675531,10.1007/s11069-020-04091-9,1,1,1
125,"<Aug,2022",SCOPUS_ID:85050530179,10.1007/s13412-018-0479-4,1,1,1
126,"<Aug,2022",SCOPUS_ID:85065254211,10.1111/ssqu.12658,0,1,0
127,"<Aug,2022",SCOPUS_ID:84872398591,10.3390/su4092176,0,1,0
128,"<Aug,2022",SCOPUS_ID:85051700898,10.3390/su10082934,0,1,0
129,"<Aug,2022",SCOPUS_ID:85049608600,10.3390/w10070871,0,1,0
130,"<Aug,2022",SCOPUS_ID:85101298539,10.1177/0956247821993391,1,0,0
131,"<Aug,2022",SCOPUS_ID:84906496621,10.1016/j.geoforum.2014.08.006,0,1,0
132,"<Aug,2022",SCOPUS_ID:85080041534,10.1016/j.landusepol.2020.104547,0,1,0
133,"<Aug,2022",SCOPUS_ID:85034603340,10.1016/j.worlddev.2017.07.003,1,0,0
134,"<Aug,2022",SCOPUS_ID:18144430997,10.1016/j.gloenvcha.2004.11.002,0,1,0
135,"<Aug,2022",SCOPUS_ID:85125546275,10.1016/j.ocecoaman.2022.106080,1,0,0
136,"<Aug,2022",SCOPUS_ID:85126872642,10.1016/j.ocecoaman.2022.106132,0,0,1
137,"<Aug,2022",SCOPUS_ID:85097373012,10.1016/j.envsci.2020.11.009,0,0,1
138,"<Aug,2022",SCOPUS_ID:85124382628,10.1016/j.crsust.2021.100091,0,0,1
139,"<Aug,2022",SCOPUS_ID:84924488961,10.5539/jsd.v8n1p1,1,0,0
140,"<Aug,2022",SCOPUS_ID:84903706890,10.5751/ES-06408-190206,1,0,0
141,"<Aug,2022",SCOPUS_ID:85104593330,10.5751/ES-12197-260126,0,0,1
142,"<Aug,2022",SCOPUS_ID:85074710238,10.1007/s10584-019-02572-w,1,0,0
143,"<Aug,2022",SCOPUS_ID:85100181510,10.1007/s11852-020-00790-4,0,1,0
144,"<Aug,2022",SCOPUS_ID:84858297713,10.1016/j.futures.2011.11.003,0,1,0
145,"<Aug,2022",SCOPUS_ID:85089144342,10.1016/j.geoforum.2020.07.011,0,1,0
146,"<Aug,2022",SCOPUS_ID:85116913758,10.1016/j.jenvman.2021.113805,0,0,1
147,"<Aug,2022",SCOPUS_ID:85124131608,10.1016/j.jenvman.2022.114638,0,1,0
148,"<Aug,2022",SCOPUS_ID:85094908730,10.22146/IJG.39053,0,0,1
149,"<Aug,2022",SCOPUS_ID:84943191874,10.5751/ES-07562-200301,0,1,0
150,"<Aug,2022",SCOPUS_ID:85123115324,10.3389/fclim.2021.735880,0,0,1
151,"<Aug,2022",SCOPUS_ID:85084360120,10.3389/fsufs.2020.00043,1,1,1
152,"<Aug,2022",SCOPUS_ID:85019246308,10.2112/JCOASTRES-D-16-00008.1,0,1,0
153,"<Aug,2022",SCOPUS_ID:85049650094,10.1007/s10113-018-1356-0,0,1,0
154,"<Aug,2022",SCOPUS_ID:85084198393,10.1007/s10584-020-02716-3,0,0,1
155,"<Aug,2022",SCOPUS_ID:85113159903,10.1007/s10584-021-03162-5,0,1,0
156,"<Aug,2022",SCOPUS_ID:84879780466,10.1007/s11625-013-0216-6,0,0,1
157,"<Aug,2022",SCOPUS_ID:84957655905,10.1007/s11625-015-0352-2,1,0,0
158,"<Aug,2022",SCOPUS_ID:85058960800,10.1007/s13280-018-1129-5,1,1,1
159,"<Aug,2022",SCOPUS_ID:85059830080,10.3390/su11020356,1,1,1
160,"<Aug,2022",SCOPUS_ID:85108502848,10.3390/su13116478,1,1,1
161,"<Aug,2022",SCOPUS_ID:85123423876,10.3390/su14031317,0,1,0
162,"Aug,2022-Feb,2024",SCOPUS_ID:85165680069,10.1016/j.landurbplan.2023.104834,0,1,0
163,"Aug,2022-Feb,2024",SCOPUS_ID:85163505175,10.1016/j.habitatint.2023.102868,1,0,0
164,"Aug,2022-Feb,2024",SCOPUS_ID:85166984678,10.1016/j.habitatint.2023.102902,0,1,0
165,"Aug,2022-Feb,2024",SCOPUS_ID:85149644982,10.1016/j.jenvman.2023.117666,0,1,0
166,"Aug,2022-Feb,2024",SCOPUS_ID:85161590148,10.1016/j.marpol.2023.105690,0,1,0
167,"Aug,2022-Feb,2024",SCOPUS_ID:85125115205,10.1016/j.socnet.2022.02.010,0,1,0
168,"Aug,2022-Feb,2024",SCOPUS_ID:85149073550,10.1016/j.jrurstud.2023.02.001,1,1,1
169,"Aug,2022-Feb,2024",SCOPUS_ID:85140709432,10.1016/j.gloenvcha.2022.102610,1,0,0
170,"Aug,2022-Feb,2024",SCOPUS_ID:85149768992,10.1016/j.gloenvcha.2023.102654,0,1,0
171,"Aug,2022-Feb,2024",SCOPUS_ID:85151017980,10.1016/j.gloenvcha.2023.102666,1,0,0
172,"Aug,2022-Feb,2024",SCOPUS_ID:85173506625,10.1016/j.ocecoaman.2023.106864,1,1,1
173,"Aug,2022-Feb,2024",SCOPUS_ID:85162142761,10.1016/j.envsci.2023.05.006,0,0,1
174,"Aug,2022-Feb,2024",SCOPUS_ID:85175631163,10.1016/j.envsci.2023.103618,1,0,0
175,"Aug,2022-Feb,2024",SCOPUS_ID:85164359712,10.1016/j.crm.2023.100524,0,1,0
176,"Aug,2022-Feb,2024",SCOPUS_ID:85151005416,10.1016/j.ijdrr.2023.103648,0,1,0
177,"Aug,2022-Feb,2024",SCOPUS_ID:85154598916,10.1016/j.ijdrr.2023.103721,1,0,0
178,"Aug,2022-Feb,2024",SCOPUS_ID:85162164242,10.1016/j.ijdrr.2023.103790,0,0,1
179,"Aug,2022-Feb,2024",SCOPUS_ID:85166317376,10.1016/j.ijdrr.2023.103896,1,0,0
180,"Aug,2022-Feb,2024",SCOPUS_ID:85178401336,10.1016/j.ijdrr.2023.104138,1,0,0
181,"Aug,2022-Feb,2024",SCOPUS_ID:85150210074,10.1016/j.envc.2023.100706,1,0,0
182,"Aug,2022-Feb,2024",SCOPUS_ID:85124384412,10.1108/DPM-12-2020-0373,1,0,0
183,"Aug,2022-Feb,2024",SCOPUS_ID:85124384412,10.1108/DPM-12-2020-0373,0,0,1
184,"Aug,2022-Feb,2024",SCOPUS_ID:85133274104,10.1007/s10708-022-10703-7,1,0,0
185,"Aug,2022-Feb,2024",SCOPUS_ID:85173443185,10.32526/ennrj/21/20230027,0,0,1
186,"Aug,2022-Feb,2024",SCOPUS_ID:85151342710,10.1051/e3sconf/202337302001,1,0,0
187,"Aug,2022-Feb,2024",SCOPUS_ID:85141738072,10.1029/2022EF003012,0,1,0
188,"Aug,2022-Feb,2024",SCOPUS_ID:85168492017,10.1029/2023EF003713,0,0,1
189,"Aug,2022-Feb,2024",SCOPUS_ID:85181214362,10.5751/ES-14403-280430,0,0,1
190,"Aug,2022-Feb,2024",SCOPUS_ID:85169936320,10.1080/15575330.2023.2253316,0,0,1
191,"Aug,2022-Feb,2024",SCOPUS_ID:85149316852,10.3389/fclim.2023.1080754,0,1,0
192,"Aug,2022-Feb,2024",SCOPUS_ID:85139565536,10.3389/frwa.2022.932061,1,0,0
193,"Aug,2022-Feb,2024",SCOPUS_ID:85168122096,10.1111/1752-1688.13151,0,0,1
194,"Aug,2022-Feb,2024",SCOPUS_ID:85179051195,10.1016/j.marpol.2023.105964,0,1,0
195,"Aug,2022-Feb,2024",SCOPUS_ID:85140908400,10.3390/land11101755,1,0,0
196,"Aug,2022-Feb,2024",SCOPUS_ID:85180904077,10.1073/pnas.2313773120,1,1,1
197,"Aug,2022-Feb,2024",SCOPUS_ID:85119209782,10.1007/s00267-021-01553-z,1,0,0
198,"Aug,2022-Feb,2024",SCOPUS_ID:85165269365,10.1007/s10113-023-02083-6,1,0,0
199,"Aug,2022-Feb,2024",SCOPUS_ID:85143771441,10.1007/s10584-022-03468-y,0,0,1
200,"Aug,2022-Feb,2024",SCOPUS_ID:85163620906,10.1007/s10668-023-03515-3,1,0,0
201,"Aug,2022-Feb,2024",SCOPUS_ID:85139437679,10.1007/s10745-022-00362-0,1,0,0
202,"Aug,2022-Feb,2024",SCOPUS_ID:85173521117,10.1007/s10980-023-01734-7,1,0,0
203,"Aug,2022-Feb,2024",SCOPUS_ID:85150340173,10.1007/s11069-023-05813-5,1,0,0
204,"Aug,2022-Feb,2024",SCOPUS_ID:85129569123,10.1007/s13412-022-00762-0,0,1,0
205,"Aug,2022-Feb,2024",SCOPUS_ID:85106275794,10.1080/13549839.2021.1923000,0,0,1
206,"Aug,2022-Feb,2024",SCOPUS_ID:85147978769,10.3390/su15032756,1,0,0
207,"Aug,2022-Feb,2024",SCOPUS_ID:85149300824,10.3390/su15043744,1,0,0
208,"Aug,2022-Feb,2024",SCOPUS_ID:85156118863,10.3390/su15086664,1,1,1
209,"Aug,2022-Feb,2024",SCOPUS_ID:85175497363,10.1073/pnas.2215675120,1,0,0
